,Answer,Labels
0,"Sitare University is committed to providing high-quality Computer Science education to bright students from underprivileged backgrounds. We offer a 100% scholarship to students who meet our criteria: securing a minimum of 90 percentile in JEE Mains and having a family income of less than ¹3 lakhs per annum. Our goal is to empower talented students with exceptional opportunities, ensuring that financial constraints do not hinder their potential.",1
1,"Sitare University is committed to providing high-quality Computer Science education to bright students from underprivileged backgrounds. We offer a 100% scholarship to students who meet our criteria: securing a minimum of 90 percentile in JEE Mains and having a family income of less than ¹3 lakhs per annum. Our goal is to empower talented students with exceptional opportunities, ensuring that financial constraints do not hinder their potential.",1
2,"The curriculum at Sitare University focuses on industry oriented CS education. Our students learn Python, Math, Data Structures and English Communication in first year; Algorithms, Java, Systems, Databases/IR, and Machine Learning in second year; Web development, Systems, and deep Learning in third year alongside Hands-on Projects and Problem Solving. The fourth year is to be spent in the industry. Our students get paid internships right from the first summer itself.",7
3,Sitare University has very high standards for faculty hiring. All our faculty are highly qualified and have a passion for teaching. We also have several globally renowned CS experts as our mentors. Our website contains the names and further details about all our faculty members and mentors.,7
4,"As of 2024, we have more than 8 full time faculty, and several visiting faculty from top institutes of India and abroad. For further details, please visit our university website: https://sitare.org/univ/",3
5,"As of 2024, we have more than 8 full time faculty, and several visiting faculty from top institutes of India and abroad. For further details, please visit our university website: https://sitare.org/univ/",3
6,"Sitare University is a unique initiative in the world which aims to provide high quality Computer Science education completely free of cost to bright students from underprivileged backgrounds. There is not a single penny charged from the students for food or accommodation or studies. All this without compromising on the quality of education. In fact, we can proudly say that the quality of our faculty and teaching is already much better than most private universities and several of the new IITs. It was started in 2022 by Dr. Amit Singhal, who was earlier Senior Vice President at Google.",1
7,"As of 2024, we have more than 8 full time faculty, and several visiting faculty from top institutes of India and abroad. For further details, please visit our university website: https://sitare.org/univ/",3
8,"As of 2024, we have more than 8 full time faculty, and several visiting faculty from top institutes of India and abroad. For further details, please visit our university website: https://sitare.org/univ/",3
9,"As of 2024, we have more than 8 full time faculty, and several visiting faculty from top institutes of India and abroad. For further details, please visit our university website: https://sitare.org/univ/",3
10,Sitare University has very high standards for faculty hiring. All our faculty are highly qualified and have a passion for teaching. We also have several globally renowned CS experts as our mentors. Our website contains the names and further details about all our faculty members and mentors. Website: https://sitare.org/univ/,7
11,"The best way to deal with any job scarcity situation is to provide a broad exposure to students so that they can aspire to compete in multiple domains. Sitare University focusses on all application oriented areas of Computer Science like Data Structures, Algorithms, Data Science, Machine Learning, Deep Learning, Artificial Intelligence, Database Management Systems, Computer Networks, etc",7
12,"As of 2024, We have 221 students at Sitare University",1
13,Sitare University was started in 2022.,1
14,"Our permanent campus is coming up on the Bhopal-Indore highway, and should be ready for moving in sometime in 2025. Till then we are operating from the campus of Sri Ramswaroop College of Engineering and Management in Lucknow.",2
15,"Our permanent campus is coming up on the Bhopal-Indore highway, and should be ready for moving in sometime in 2025. Till then we are operating from the campus of Sri Ramswaroop College of Engineering and Management in Lucknow.",2
16,"The best way to deal with any job scarcity situation is to provide a broad exposure to students so that they can aspire to compete in multiple domains. Sitare University focusses on all application oriented areas of Computer Science like Data Structures, Algorithms, Data Science, Machine Learning, Deep Learning, Artificial Intelligence, Database Management Systems, Computer Networks, etc",7
17,"The best way to deal with any job scarcity situation is to provide a broad exposure to students so that they can aspire to compete in multiple domains. Sitare University focusses on all application oriented areas of Computer Science like Data Structures, Algorithms, Data Science, Machine Learning, Deep Learning, Artificial Intelligence, Database Management Systems, Computer Networks, etc",7
18,"Our permanent campus is coming up on the Bhopal-Indore highway, and should be ready for moving in sometime in 2025. Till then we are operating from the campus of Sri Ramswaroop College of Engineering and Management in Lucknow.",2
19,"Our permanent campus is coming up on the Bhopal-Indore highway, and should be ready for moving in sometime in 2025. Till then we are operating from the campus of Sri Ramswaroop College of Engineering and Management in Lucknow.",2
20,"Our permanent campus is coming up on the Bhopal-Indore highway, and should be ready for moving in sometime in 2025. Till then we are operating from the campus of Sri Ramswaroop College of Engineering and Management in Lucknow.",2
21,"Sitare University was founded by Dr. Amit Singhal, who was earlier Senior Vice President of Google Search.",1
22,"The best way to deal with any job scarcity situation is to provide a broad exposure to students so that they can aspire to compete in multiple domains. Sitare University focusses on all application oriented areas of Computer Science like Data Structures, Algorithms, Data Science, Machine Learning, Deep Learning, Artificial Intelligence, Database Management Systems, Computer Networks, etc",7
23,"Sitare University was founded by Dr. Amit Singhal, who was earlier Senior Vice President of Google Search.",1
24,"The university is being completely funded by its founder, Dr. Amit Singhal.",3
25,"As of 2024, We are only teaching Computer Science since our mission is to provide high paying jobs to bright students from underprivileged backgrounds.",8
26,"We have a high focus on courses related to Data Science, Machine Learning and Artificial Intelligence!",8
27,"Dr. Amit Singhal was one of the early employees of Google, and worked there for more than fifteen years. He was in-charge of Google Search for a very long time. He benefitted from Google's financial success, becoming quite financially successful themselves. He wanted to use majority of their net worth to do something that would transform society, and after a lot of brainstorming, he settled down on educating bright students from economically weak backgrounds. Dr. Amit has not only put in his own money into this initiative, he is also investing most of his time and energy in making sure that Sitare University turns out to be a global leader in Computer Science education in the years to come.",1
28,"We have a high focus on courses related to Data Science, Machine Learning and Artificial Intelligence!",8
29,"We have a high focus on courses related to Data Science, Machine Learning and Artificial Intelligence!",8
30,We have very good hostel facilities on campus.,12
31,"We are in the process of getting the approvals. Till then, the degree will be given by Sri Ramswaroop Memorial University, Lucknow.",2
32,We are following all the norms of UGC and other relevant government agencies.,3
33,"Our first batch is now in third year, and so it will take one more year for us to provide placement information. But given the large network of startups that we have, placements will not be a problem for any student.",6
34,Our students get internships from the first year itself through our vast network of startups.,0
35,We are focussed on computer software education as of now.,8
36,We have TAs who take special sessions for weak sessions to ensure that they do not lag behind the rest of the class.,12
